                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72647,                0.46658,                 1.0307,                0.94269,                0.96724,                0.98786,                0.83147,                0.69594,                  0.356,                0.98894,             0.00054478,             0.00054478,             0.00054478
                     37,                0.70814,                0.45646,                 1.0221,                0.93658,                0.96692,                0.98669,                0.81494,                0.71403,                0.36442,                 1.0159,             0.00051177,             0.00051177,             0.00051177
                     38,                0.70275,                0.43981,                 1.0085,                0.94047,                0.95775,                0.98699,                0.82699,                0.70421,                0.36191,                0.98541,             0.00047876,             0.00047876,             0.00047876
                     39,                0.70762,                0.45472,                 1.0234,                0.94357,                 0.9534,                0.98643,                 0.8292,                0.69573,                0.35376,                0.98017,             0.00044576,             0.00044576,             0.00044576
                     40,                0.68881,                0.43985,                   1.01,                0.95581,                0.95049,                0.98709,                  0.829,                0.69421,                0.34911,                0.98862,             0.00041275,             0.00041275,             0.00041275
                     41,                0.60834,                0.33381,                0.93836,                0.92708,                 0.9694,                0.98595,                0.82782,                0.69516,                0.35867,                0.99047,             0.00037974,             0.00037974,             0.00037974
                     42,                0.60072,                0.33716,                0.93303,                0.94441,                 0.9609,                0.98649,                0.83565,                0.69266,                0.35234,                0.97098,             0.00034674,             0.00034674,             0.00034674
                     43,                0.59469,                0.32225,                0.93163,                0.93336,                0.96716,                0.98732,                0.83417,                0.68399,                0.34736,                0.97885,             0.00031373,             0.00031373,             0.00031373
                     44,                0.57997,                 0.3189,                 0.9266,                0.94887,                0.95204,                0.98825,                0.83812,                0.68723,                0.34428,                0.97296,             0.00028072,             0.00028072,             0.00028072
                     45,                0.56488,                0.30517,                0.92247,                0.94896,                0.95456,                0.98741,                0.84334,                0.66941,                0.33837,                0.96665,             0.00024772,             0.00024772,             0.00024772
                     46,                0.56255,                0.30098,                0.91901,                0.94926,                0.96212,                0.98817,                0.84673,                0.66508,                0.33426,                0.96877,             0.00021471,             0.00021471,             0.00021471
                     47,                0.54766,                0.29842,                0.91709,                0.93636,                0.98045,                0.98819,                0.84576,                0.65819,                 0.3268,                0.96511,              0.0001817,              0.0001817,              0.0001817
                     48,                 0.5351,                0.28662,                0.90785,                0.94603,                0.96398,                0.98842,                 0.8456,                0.65791,                0.32723,                0.97171,              0.0001487,              0.0001487,              0.0001487
                     49,                0.53302,                0.28295,                0.90253,                0.94479,                 0.9733,                0.98905,                0.85331,                0.64515,                0.31813,                0.96084,             0.00011569,             0.00011569,             0.00011569
                     50,                0.52368,                0.28154,                0.90181,                0.94227,                0.97471,                 0.9893,                0.85022,                0.64878,                0.31638,                0.96146,             8.2683e-05,             8.2683e-05,             8.2683e-05
